Type Gun
Useable Gun
Slot Primary
ID 357

Size_X 4
Size_Y 2
Size_Z 0.4

Barrel 354
Magazine 347
Sight 358

Hook_Sight
Hook_Tactical

Ammo_Min 1
Ammo_Max 1

Semi

Caliber 15

Range 250
Firerate 50
Replace 0.6
Action String

Player_Damage 99
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 70
Structure_Damage 50
Vehicle_Damage 60
Resource_Damage 30

Durability 1

Spread_Aim 0.01
Spread_Hip 0.2

Recoil_Min_X -5
Recoil_Min_Y 5
Recoil_Max_X 5
Recoil_Max_Y 10

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Backward
