Type Gun
Useable Gun
Slot Secondary
ID 99

Size_X 2
Size_Y 2
Size_Z 0.25

Magazine 100

Hook_Tactical

Ammo_Min 5
Ammo_Max 20

Safety
Semi
Auto

Caliber 4

Range 80
Firerate 4
Action Trigger

Player_Damage 32
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 25
Structure_Damage 25
Vehicle_Damage 25
Resource_Damage 15

Durability 0.2

Spread_Aim 0.1
Spread_Hip 0.3

Recoil_Min_X -1
Recoil_Min_Y 2.5
Recoil_Max_X -0.5
Recoil_Max_Y 3.5

Recover_X 0.2
Recover_Y 0.4

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.075

Muzzle 3

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
