Type Gun
Useable Gun
Slot Primary
ID 129

Size_X 5
Size_Y 2
Size_Z 0.4

Sight 131
Magazine 130

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 7

Safety
Semi

Caliber 11

Range 350
Firerate 10
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 60
Structure_Damage 45
Vehicle_Damage 30
Resource_Damage 20

Durability 0.9

Spread_Aim 0.005
Spread_Hip 0.4

Recoil_Min_X 5
Recoil_Min_Y 10
Recoil_Max_X 10
Recoil_Max_Y 15

Recover_X 0.3
Recover_Y 0.75

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 61
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Build 27
