Type Melee
Useable Melee
Slot Secondary
ID 104

Size_X 2
Size_Y 3
Size_Z 0.6

Range 2.25
Strength 1.5
Stamina 20

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 80
Structure_Damage 60
Vehicle_Damage 60
Resource_Damage 75

Durability 0.2

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
