Type Melee
Useable Melee
Slot Secondary
ID 135

Size_X 2
Size_Y 3
Size_Z 0.7

Range 2.4
Strong 0.375
Strength 1.5
Stamina 25

Player_Damage 34
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 34
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 30
Structure_Damage 25
Vehicle_Damage 25
Resource_Damage 25

Durability 0.1

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 61
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
