Type Melee
Useable Melee
Slot Secondary
ID 121

Size_X 1
Size_Y 2
Size_Z 0.55

Range 1.75
Strength 1.5
Weak 0.44
Strong 0.5
Stamina 15

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 25
Resource_Damage 20

Durability 0.2

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
