Type Gun
Useable Gun
Slot Primary
ID 6014

Size_X 5
Size_Y 2
Size_Z 0.45

Sight 6016
Magazine 6015

Hook_Tactical
Hook_Grip

Ammo_Min 5
Ammo_Max 32

Safety
Semi
Auto

Caliber 109

Range 15
Firerate 10
Action Trigger

Player_Damage 20
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 20
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 15
Resource_Damage 15

Durability 0.25

Spread_Aim 0.8
Spread_Hip 0.1

Recoil_Min_X -6
Recoil_Min_Y 25
Recoil_Max_X 6
Recoil_Max_Y 30

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.025
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z 0

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
