Type Gun
Useable Gun
Slot Primary
ID 6003

Size_X 3
Size_Y 2
Size_Z 0.425

Sight 124
Magazine 123

Hook_Sight
Hook_Barrel

Ammo_Min 10
Ammo_Max 35

Safety
Semi
Auto

Caliber 9

Range 150
Firerate 4
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1

Zombie_Damage 50
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.75

Barricade_Damage 35
Structure_Damage 35
Vehicle_Damage 25
Resource_Damage 15

Durability 0.25

Spread_Aim 0.1
Spread_Hip 0.25

Recoil_Min_X -2		
Recoil_Min_Y 6
Recoil_Max_X 6
Recoil_Max_Y 8

Recover_X 0.7
Recover_Y 0.7

Shake_Min_X -0.003
Shake_Min_Y 0.003
Shake_Min_Z -0.015
Shake_Max_X 0.003
Shake_Max_Y -0.003
Shake_Max_Z -0.025

Muzzle 3

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Tool 76
Blueprint_0_Build 27
