Type Gun
Useable Gun
Slot Primary
ID 6017

Size_X 5
Size_Y 2
Size_Z 0.45

Sight 21
Magazine 6018

Hook_Sight
Hook_Grip

Ammo_Min 1
Ammo_Max 10

Safety
Semi

Caliber 13

Range 500
Firerate 20
Action Bolt

Player_Damage 80
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 80
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Barricade_Damage 60
Structure_Damage 40
Vehicle_Damage 50
Resource_Damage 20

Durability 1

Spread_Aim 0.001
Spread_Hip 0.35

Recoil_Min_X -3
Recoil_Min_Y 20
Recoil_Max_X -4
Recoil_Max_Y 25

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Build 27
