Type Melee
Useable Melee
Slot Secondary
ID 1100

Size_X 2
Size_Y 3
Size_Z 0.6

Range 2.25
Weak 0.4
Strong 0.5
Strength 1.5
Stamina 20

Player_Damage 70
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1

Zombie_Damage 70
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Barricade_Damage 32
Structure_Damage 30
Vehicle_Damage 30
Resource_Damage 10

Durability 0.1

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 105
Blueprint_0_Supply_1_ID 120
Blueprint_0_Supply_2_ID 69
Blueprint_0_Build 27
