Type Melee
Useable Melee
Slot Secondary
ID 1103

Size_X 2
Size_Y 3
Size_Z 0.6

Range 2
Strength 1.5
Stamina 25

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1

Zombie_Damage 40
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 2

Barricade_Damage 40
Structure_Damage 30
Vehicle_Damage 35
Resource_Damage 100

Durability 0.15

Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 40
Blueprint_0_Supply_1_ID 137
Blueprint_0_Supply_2_ID 69
Blueprint_0_Build 27
