Type Gun
Useable Gun
Slot Primary
ID 1036

Size_X 5
Size_Y 2
Size_Z 0.5

Sight 296
Magazine 1037

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 6

Safety
Semi

Caliber 26

Range 500
Firerate 15
Action Trigger

Player_Damage 90
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 90
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 0.75
Zombie_Spine_Multiplier 1.5
Zombie_Skull_Multiplier 1.9

Barricade_Damage 70
Structure_Damage 50
Vehicle_Damage 150
Resource_Damage 30

Durability 1

Spread_Aim 0.001
Spread_Hip 0.45

Recoil_Min_X 5
Recoil_Min_Y 10
Recoil_Max_X 10
Recoil_Max_Y 15

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Tool 76
Blueprint_0_Build 27
