Type Gun
Useable Gun
Slot Primary
ID 910

Size_X 5
Size_Y 2
Size_Z 0.47

Magazine 911

Hook_Sight

Ammo_Min 3
Ammo_Max 10

Safety
Semi

Caliber 29

Range 300
Firerate 50
Action Trigger

Player_Damage 90
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 90
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.5

Barricade_Damage 50
Structure_Damage 40
Vehicle_Damage 30
Resource_Damage 20

Durability 0.35

Spread_Aim 0.015
Spread_Hip 0.18

Recoil_Min_X -7
Recoil_Min_Y 15
Recoil_Max_X 7
Recoil_Max_Y 20

Recover_X 0.3
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Supply_1_ID 61
Blueprint_0_Build 27
