Name_Field_Label Name
Description_Field_Label Description
Path_Field_Label Collection Path
Preview_Field_Label Preview Image
Change_Field_Label Change Note

Create_Button Create
Create_Button_Tooltip Create

Legal_Button By submitting this content, you agree to the workshop terms of service! 
Legal_Button_Tooltip View Terms of Service

Map Map
Localization Localization
Object Object
Item Item
Vehicle Vehicle

Public Public
Friends_Only Friends Only
Private Private

Overlay Steam overlay needs to be enabled.
